specObjID,class_label,u,g,r,i,z,w1,w2,w3,w4,u_g,g_r,color
331155893175478272,QSO,19.43389,19.0389,18.8754,18.61559,18.58644,14.808,14.01,11.857,8.945,0.39498999999999995,0.16350000000000264,green
4548831430751574016,QSO,22.25113,21.7645,21.89088,21.96616,21.85532,17.372,16.351,12.543,9.065,0.4866299999999981,-0.1263799999999975,green
4548772606879488000,GALAXY,23.8963,22.04478,20.48013,19.32495,18.84088,15.466,15.585,12.568,8.673,1.8515200000000007,1.5646500000000003,red
4556693209523443712,GALAXY,22.60743,21.99473,20.48519,19.61651,19.05905,15.773,15.971,12.941,9.267,0.6127000000000002,1.5095400000000012,red
386255164689901568,GALAXY,20.20376,18.61321,17.72406,17.25109,16.91135,14.352,14.212,11.458,8.374,1.5905500000000004,0.8891499999999972,red
8387997299708811264,STAR,19.59767,17.3127,16.36056,15.99932,15.80384,14.044,14.237,12.688,9.087,2.2849700000000013,0.95214,blue
337812335848613888,GALAXY,21.94554,20.20752,18.51466,17.78232,17.27091,14.521,14.334,12.716,8.885,1.7380200000000023,1.6928599999999996,red
8170664806631888896,STAR,22.86926,19.92516,18.39223,17.66568,17.12105,14.608,14.649,11.998,9.129,2.944099999999999,1.5329300000000003,blue
336819472285329408,QSO,20.24077,18.36054,17.41621,16.96207,16.60363,14.243,13.999,10.982,8.795,1.880230000000001,0.9443300000000008,green
4528491011148896256,QSO,21.04964,20.26651,20.02178,19.95529,19.57455,16.65,15.564,12.398,8.804,0.7831299999999999,0.24473000000000056,green
4531885203510286336,QSO,22.50472,20.52614,20.20581,20.11457,19.85519,17.113,16.05,12.646,9.361,1.9785799999999973,0.320330000000002,green
3731275530490716160,STAR,19.97368,18.76678,18.30266,18.14736,18.06653,17.138,16.696,13.05,9.213,1.206900000000001,0.4641200000000012,blue
4526314252668262400,GALAXY,23.83961,21.65092,20.59042,19.72676,19.22781,15.578,15.419,12.703,9.39,2.188690000000001,1.0604999999999976,red
4332509940394776576,QSO,21.75355,20.79479,20.41421,19.75654,19.40416,15.226,15.03,12.13,8.741,0.9587600000000016,0.38057999999999836,green
4561063218236381184,GALAXY,22.90089,22.56379,20.98486,19.68926,18.92513,15.024,15.097,12.334,8.983,0.3370999999999995,1.5789299999999997,red
4561115719916607488,QSO,24.97664,22.19255,20.52094,20.22643,20.07111,16.471,15.965,12.857,9.058,2.784089999999999,1.6716100000000012,green
4261719526696310784,GALAXY,25.09719,22.47447,20.65592,19.73515,19.37635,15.511,15.456,11.934,9.017,2.622720000000001,1.8185500000000019,red
14124658572743956480,QSO,22.85875,21.67948,21.43516,21.22163,20.52395,16.837,16.08,12.898,9.365,1.179269999999999,0.24432000000000187,green
349033127676504064,GALAXY,25.05519,20.90585,19.07779,18.32158,17.80218,14.502,14.344,12.779,9.039,4.149339999999999,1.8280600000000007,red
4552145634095028224,GALAXY,23.13268,21.71719,20.22118,19.36029,18.9921,15.087,14.715,12.18,9.36,1.415490000000002,1.4960099999999983,red
2315997612873902080,STAR,18.88951,17.15064,16.41036,16.12178,15.94863,14.254,14.137,12.19,8.606,1.7388700000000021,0.7402799999999985,blue
2880096011626244096,STAR,17.49245,16.51379,16.15958,16.05681,16.01443,14.9,14.742,12.236,8.365,0.9786600000000014,0.3542100000000019,blue
345711497562843136,QSO,19.51086,19.05091,18.48601,18.26058,17.82582,13.471,12.528,9.534,7.045,0.45995000000000275,0.564899999999998,green
3723375264567238656,STAR,19.52274,18.33674,17.79027,17.60637,17.46528,16.053,16.344,12.497,9.41,1.186,0.5464699999999993,blue
3287677557419304960,STAR,19.11843,17.69186,17.07232,16.7986,16.65796,15.079,15.153,12.576,8.396,1.4265700000000017,0.6195399999999971,blue
8390324691332782080,STAR,18.60659,16.97391,16.28618,16.02399,15.89379,14.239,14.327,12.513,9.059,1.6326800000000006,0.6877299999999984,blue
8387979157766952960,STAR,20.22774,18.15663,17.31368,17.04238,16.83195,15.215,15.281,12.617,8.822,2.071110000000001,0.8429499999999983,blue
2880204313521580032,STAR,18.96006,17.64822,17.09228,16.89692,16.80819,15.326,15.374,12.316,9.056,1.3118400000000001,0.5559399999999997,blue
8394875294780250112,STAR,19.83995,17.77777,16.92076,16.54911,16.32854,14.495,14.639,12.826,9.2,2.0621800000000015,0.8570099999999989,blue
8391513263469516800,STAR,19.41528,17.22387,16.2949,15.93072,15.73781,13.893,13.923,12.19,9.158,2.1914099999999976,0.9289700000000032,blue
1400748996468697088,STAR,25.17291,21.80344,20.31744,19.1212,18.4107,16.253,16.474,12.431,8.74,3.3694700000000033,1.485999999999997,blue
324280922079782912,GALAXY,20.14453,18.58083,17.67017,17.19224,16.81858,14.058,13.759,10.165,8.364,1.5637000000000008,0.91066,red
4291939883227043840,QSO,20.44951,19.73793,19.6773,19.68572,19.42728,16.973,16.15,12.011,9.123,0.7115800000000014,0.06062999999999974,green
14102066907361597440,GALAXY,24.36011,22.39497,20.81758,20.21069,19.97531,16.673,16.566,12.211,8.881,1.965139999999998,1.5773900000000012,red
4525111112589662208,QSO,18.97666,18.73322,18.54754,18.3679,18.12569,15.368,14.201,10.721,8.701,0.24343999999999966,0.18567999999999785,green
336815349116725248,STAR,18.61199,17.49811,17.06986,16.89646,16.81015,15.475,15.387,12.52,8.743,1.1138799999999982,0.428250000000002,blue
4528517399427962880,QSO,24.28728,20.4427,19.44448,19.12631,18.94478,15.83,15.219,11.444,8.652,3.8445800000000006,0.9982199999999999,green
14102129854402287616,QSO,19.90372,19.66435,19.39767,19.30474,18.82791,14.687,13.753,11.028,8.267,0.23937000000000097,0.26667999999999736,green
336719141849294848,GALAXY,19.62761,17.72125,16.8343,16.44735,16.12869,13.922,13.885,12.341,8.81,1.9063599999999994,0.8869500000000023,red
4560116268242589696,GALAXY,21.37313,19.43944,18.029,17.50528,17.15732,14.574,14.262,12.63,8.93,1.9336899999999986,1.4104400000000012,red
3640207928838955008,STAR,19.09121,16.8779,15.9375,15.63741,15.46908,13.692,13.795,12.59,8.697,2.21331,0.9404000000000003,blue
4555433998076368896,GALAXY,22.99907,20.31456,18.65541,18.0741,17.75563,14.457,14.324,12.685,9.283,2.6845099999999995,1.6591500000000003,red
14124418879209101312,QSO,20.19602,20.25171,20.41102,19.98353,20.01901,16.757,15.713,12.369,8.606,-0.05568999999999846,-0.1593100000000014,green
1405174286141908992,STAR,24.10994,22.73518,20.71536,19.19241,18.2549,15.548,15.196,12.478,9.143,1.374760000000002,2.0198199999999993,blue
331063259320838144,QSO,18.84106,18.68431,18.52751,18.42744,18.1263,15.381,14.379,11.087,9.068,0.15674999999999883,0.1568000000000005,green
529220267579303936,QSO,20.40948,20.31992,20.21148,20.10184,19.84326,17.102,16.028,12.207,8.954,0.08955999999999875,0.1084399999999981,green
3275253627307976704,STAR,17.23661,16.30433,15.94709,15.80447,15.74808,14.523,14.513,12.427,8.848,0.9322799999999987,0.3572400000000009,blue
4521695759108954112,GALAXY,24.93873,22.11221,20.26157,19.44219,19.09251,15.792,15.684,12.788,9.097,2.8265199999999986,1.850640000000002,red
4269677241615800320,QSO,24.26189,23.41184,20.99567,19.7482,19.27295,15.471,15.427,12.645,8.949,0.8500499999999995,2.416170000000001,green
307446573703391232,GALAXY,19.42867,17.59117,16.57017,16.0061,15.54113,12.75,12.489,9.053,7.342,1.8374999999999986,1.0210000000000008,red
2316061934304126976,STAR,16.46456,15.35646,15.14376,15.10774,15.13673,14.141,14.142,12.314,8.855,1.1080999999999985,0.2126999999999999,blue
341168039833659392,GALAXY,19.57684,17.82128,16.99965,16.54383,16.2441,14.372,14.055,10.034,7.17,1.7555599999999991,0.8216300000000025,red
349113392025331712,STAR,16.87595,15.7035,15.82927,15.95811,16.05276,15.441,15.401,12.568,9.453,1.1724499999999995,-0.12576999999999927,blue
